"","cond","expt","matrix","prior","query","object","count","p","n","cil","cih","priorType","priorValue","grouper","speaker.p","preds","tuningData","depth","low","hi","ci_low","ci_hi"
"1","0.33","baserate","simple","prior","glasses","foil",1,0.0158730158730159,63,2.85110845628313e-05,0.0603906613722844,"foil",0.0526315789473684,"baserate-63",0,0,"keep",0,0,0,0,0
"2","0.33","baserate","simple","prior","glasses","logical",11,0.174603174603175,63,0.0908006564595695,0.27426365285653,"logical",0.543859649122807,"baserate-63",0.5,0.5,"keep",0,0,0,0.5,0.5
"3","0.33","baserate","simple","prior","glasses","target",51,0.80952380952381,63,0.70707160030733,0.896916231937255,"target",0.403508771929825,"baserate-63",0.5,0.5,"keep",0,0,0,0.5,0.5
"4","0.44","baserate","simple","prior","glasses","foil",2,0.0294117647058824,68,0.00232502360660842,0.0799697548438146,"foil",0.122448979591837,"baserate-68",0,0,"keep",0,0,0,0,0
"5","0.44","baserate","simple","prior","glasses","logical",6,0.0882352941176471,68,0.031917080030165,0.163514641891754,"logical",0.469387755102041,"baserate-68",0.5,0.5,"keep",0,0,0,0.5,0.5
"6","0.44","baserate","simple","prior","glasses","target",60,0.882352941176471,68,0.798737944887376,0.948527888258358,"target",0.408163265306122,"baserate-68",0.5,0.5,"keep",0,0,0,0.5,0.5
"7","0.11","baserate","simple","prior","glasses","foil",6,0.0833333333333333,72,0.0300468445274259,0.154773559188882,"foil",0.0377358490566038,"baserate-72",0,0,"keep",0,0,0,0,0
"8","0.11","baserate","simple","prior","glasses","logical",12,0.166666666666667,72,0.0893487815930055,0.258238429075166,"logical",0.773584905660377,"baserate-72",0.5,0.5,"keep",0,0,0,0.5,0.5
"9","0.11","baserate","simple","prior","glasses","target",54,0.75,72,0.646426434067955,0.842944840154049,"target",0.188679245283019,"baserate-72",0.5,0.5,"keep",0,0,0,0.5,0.5
"10","0.77","baserate","simple","prior","glasses","foil",1,0.0133333333333333,75,2.34607327908825e-05,0.0509465479373625,"foil",0.0196078431372549,"baserate-75",0,0,"keep",0,0,0,0,0
"11","0.77","baserate","simple","prior","glasses","logical",4,0.0533333333333333,75,0.0133422929160002,0.112397872837334,"logical",0.372549019607843,"baserate-75",0.5,0.5,"keep",0,0,0,0.5,0.5
"12","0.77","baserate","simple","prior","glasses","target",70,0.933333333333333,75,0.869093740892667,0.979285200394509,"target",0.607843137254902,"baserate-75",0.5,0.5,"keep",0,0,0,0.5,0.5
"13","none","color","simple","prior","glasses","foil",1,0.0263157894736842,38,5.14612055539293e-05,0.0983727358771635,"foil",0.365714285714286,"color-38",0,0,"keep",0,0,0,0,0
"14","none","color","simple","prior","glasses","logical",7,0.184210526315789,38,0.0778279022059476,0.31581128132108,"logical",0.428571428571429,"color-38",0.5,0.5,"keep",0,0,0,0.5,0.5
"15","none","color","simple","prior","glasses","target",30,0.789473684210526,38,0.652713086400107,0.903211275764544,"target",0.205714285714286,"color-38",0.5,0.5,"keep",0,0,0,0.5,0.5
"16","target","color","simple","prior","glasses","foil",1,0.0217391304347826,46,4.0955216577707e-05,0.081893655974384,"foil",0.205882352941176,"color-46",0,0,"keep",0,0,0,0,0
"17","target","color","simple","prior","glasses","logical",6,0.130434782608696,46,0.048521986343088,0.237114602850435,"logical",0.352941176470588,"color-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"18","target","color","simple","prior","glasses","target",39,0.847826086956522,46,0.735548686312952,0.936922059755903,"target",0.441176470588235,"color-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"19","foil","color","simple","prior","glasses","foil",2,0.0425531914893617,47,0.00346428479986783,0.114236215458185,"foil",0.407407407407407,"color-47",0,0,"keep",0,0,0,0,0
"20","foil","color","simple","prior","glasses","logical",6,0.127659574468085,47,0.0474015602761976,0.232364835821588,"logical",0.518518518518518,"color-47",0.5,0.5,"keep",0,0,0,0.5,0.5
"21","foil","color","simple","prior","glasses","target",39,0.829787234042553,47,0.714699429396725,0.923428813113716,"target",0.0740740740740741,"color-47",0.5,0.5,"keep",0,0,0,0.5,0.5
"22","logical","color","simple","prior","glasses","foil",3,0.0625,48,0.0111820820907555,0.143133885132119,"foil",0.125,"color-48",0,0,"keep",0,0,0,0,0
"23","logical","color","simple","prior","glasses","logical",19,0.395833333333333,48,0.264193731136893,0.534016169607373,"logical",0.583333333333333,"color-48",0.5,0.5,"keep",0,0,0,0.5,0.5
"24","logical","color","simple","prior","glasses","target",26,0.541666666666667,48,0.402875305109001,0.677842648442931,"target",0.291666666666667,"color-48",0.5,0.5,"keep",0,0,0,0.5,0.5
"25","0","complex","complex","prior","hat","foil",0,0,52,0,0.0360919878459957,"foil",0.397435897435897,"complex-52",0,0,"keep",0,0,0,0,0
"26","0","complex","complex","prior","hat","logical",50,0.961538461538462,52,0.896337927311284,0.996897421830261,"logical",0.371794871794872,"complex-52",1,1,"keep",0,0,0,1,1
"27","0","complex","complex","prior","hat","target",2,0.0384615384615385,52,0.00310257816973939,0.103662072688716,"target",0.230769230769231,"complex-52",0,0,"keep",0,0,0,0,0
"28","1","complex","complex","prior","mustache","foil",44,0.758620689655172,58,0.644104873861914,0.859543892252255,"foil",0.397435897435897,"complex-58",0.5,0.5,"keep",0,0,0,0.5,0.5
"29","1","complex","complex","prior","mustache","logical",11,0.189655172413793,58,0.0992588021695639,0.296429748915672,"logical",0.371794871794872,"complex-58",0,0,"keep",0,0,0,0,0
"30","1","complex","complex","prior","mustache","target",3,0.0517241379310345,58,0.00912335897362436,0.11937156768011,"target",0.230769230769231,"complex-58",0.5,0.5,"keep",0,0,0,0.5,0.5
"31","2","complex","complex","prior","glasses","foil",4,0.0645161290322581,62,0.0163140688028883,0.135078336330298,"foil",0.397435897435897,"complex-62",0,0,"keep",0,0,0,0,0
"32","2","complex","complex","prior","glasses","logical",25,0.403225806451613,62,0.285849088794854,0.525345403452077,"logical",0.371794871794872,"complex-62",0.5,0.5,"keep",0,0,0,0.5,0.5
"33","2","complex","complex","prior","glasses","target",33,0.532258064516129,62,0.409650108925198,0.653285853364369,"target",0.230769230769231,"complex-62",0.5,0.5,"keep",0,0,0,0.5,0.5
"34","favorite","lang","simple","prior","glasses","foil",0,0,176,0,0.0108385653707431,"foil",0.08,"lang-176",0,0,"keep",0,0,0,0,0
"35","favorite","lang","simple","prior","glasses","logical",83,0.471590909090909,176,0.39859494448369,0.54508593483241,"logical",0.71,"lang-176",0.5,0.5,"keep",0,0,0,0.5,0.5
"36","favorite","lang","simple","prior","glasses","target",93,0.528409090909091,176,0.45491406516759,0.60140505551631,"target",0.21,"lang-176",0.5,0.5,"keep",0,0,0,0.5,0.5
"37","least","lang","simple","prior","glasses","foil",6,0.0697674418604651,86,0.0249327173623007,0.130374142727258,"foil",0.793103448275862,"lang-86",0,0,"keep",0,0,0,0,0
"38","least","lang","simple","prior","glasses","logical",12,0.13953488372093,86,0.0740103601269703,0.218029682954544,"logical",0.137931034482759,"lang-86",0.5,0.5,"keep",0,0,0,0.5,0.5
"39","least","lang","simple","prior","glasses","target",68,0.790697674418605,86,0.700830021658064,0.870166719423344,"target",0.0689655172413793,"lang-86",0.5,0.5,"keep",0,0,0,0.5,0.5
"40","word","oddman","oddman","prior","glasses","foil",40,0.449438202247191,89,0.34835245691022,0.55226394283585,"foil",0.402298850574713,"oddman-89",0.5,0.5,"keep",0,0,0,0.5,0.5
"41","word","oddman","oddman","prior","glasses","logical",34,0.382022471910112,89,0.284478858345451,0.483627998770905,"logical",0.310344827586207,"oddman-89",0.5,0.5,"keep",0,0,0,0.5,0.5
"42","word","oddman","oddman","prior","glasses","target",15,0.168539325842697,89,0.0977132754491688,0.250859004329517,"target",0.28735632183908,"oddman-89",0,0,"keep",0,0,0,0,0
"43","patch","oddman","oddman","prior","glasses","foil",48,0.516129032258065,93,0.415602106641984,0.616124387468064,"foil",0.402298850574713,"oddman-93",0.5,0.5,"keep",0,0,0,0.5,0.5
"44","patch","oddman","oddman","prior","glasses","logical",38,0.408602150537634,93,0.311493975217463,0.508723499709036,"logical",0.310344827586207,"oddman-93",0.5,0.5,"keep",0,0,0,0.5,0.5
"45","patch","oddman","oddman","prior","glasses","target",7,0.0752688172043011,93,0.0298322224054412,0.135053806137833,"target",0.28735632183908,"oddman-93",0,0,"keep",0,0,0,0,0
"46","1","simple","simple","prior","glasses","foil",0,0,46,0,0.0406774312230883,"foil",0.365714285714286,"simple-46",0,0,"keep",0,0,0,0,0
"47","1","simple","simple","prior","glasses","logical",9,0.195652173913043,46,0.0943423672613376,0.317100629825791,"logical",0.428571428571429,"simple-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"48","1","simple","simple","prior","glasses","target",37,0.804347826086957,46,0.682899370174209,0.905657632738663,"target",0.205714285714286,"simple-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"49","0","simple","simple","prior","hat","foil",0,0,49,0,0.0382477868927334,"foil",0.365714285714286,"simple-49",0,0,"keep",0,0,0,0,0
"50","0","simple","simple","prior","hat","logical",48,0.979591836734694,49,0.922947403296308,0.999961966442339,"logical",0.428571428571429,"simple-49",1,1,"keep",0,0,0,1,1
"51","0","simple","simple","prior","hat","target",1,0.0204081632653061,49,3.80335576614601e-05,0.0770525967036921,"target",0.205714285714286,"simple-49",0,0,"keep",0,0,0,0,0
"52","twin","twins","twins","prior","hat","foil",5,0.108695652173913,46,0.034896058448651,0.208927155844989,"foil",0.551724137931034,"twins-46",0,0,"keep",0,0,0,0,0
"53","twin","twins","twins","prior","hat","logical",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,"logical",0.224137931034483,"twins-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"54","twin","twins","twins","prior","hat","target",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,"target",0.224137931034483,"twins-46",0.5,0.5,"keep",0,0,0,0.5,0.5
"55","uniform","twins","twins","prior","mustache","foil",23,0.383333333333333,60,0.26572311123582,0.506848269182228,"foil",0.551724137931034,"twins-60",0.333333333333333,0.333333333333333,"keep",0,0,0,0.333333333333333,0.333333333333333
"56","uniform","twins","twins","prior","mustache","logical",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,"logical",0.224137931034483,"twins-60",0.333333333333333,0.333333333333333,"keep",0,0,0,0.333333333333333,0.333333333333333
"57","uniform","twins","twins","prior","mustache","target",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,"target",0.224137931034483,"twins-60",0.333333333333333,0.333333333333333,"keep",0,0,0,0.333333333333333,0.333333333333333
"58","0.33","baserate","simple","prior","glasses","foil",1,0.0158730158730159,63,2.85110845628313e-05,0.0603906613722844,"foil",0.0526315789473684,"baserate-63",0,0,"keep",1,0,0,0,0
"59","0.33","baserate","simple","prior","glasses","logical",11,0.174603174603175,63,0.0908006564595695,0.27426365285653,"logical",0.543859649122807,"baserate-63",0.5,0.31,"keep",1,-0.0766400491400493,0.0599999999999998,0.25,0.386640049140049
"60","0.33","baserate","simple","prior","glasses","target",51,0.80952380952381,63,0.70707160030733,0.896916231937255,"target",0.403508771929825,"baserate-63",0.5,0.69,"keep",1,-0.0599999999999997,0.0766400491400492,0.613359950859951,0.75
"61","0.44","baserate","simple","prior","glasses","foil",2,0.0294117647058824,68,0.00232502360660842,0.0799697548438146,"foil",0.122448979591837,"baserate-68",0,0,"keep",1,0,0,0,0
"62","0.44","baserate","simple","prior","glasses","logical",6,0.0882352941176471,68,0.031917080030165,0.163514641891754,"logical",0.469387755102041,"baserate-68",0.5,0.27710843373494,"keep",1,-0.0800344234079171,0.0666688732953796,0.21043956043956,0.357142857142857
"63","0.44","baserate","simple","prior","glasses","target",60,0.882352941176471,68,0.798737944887376,0.948527888258358,"target",0.408163265306122,"baserate-68",0.5,0.72289156626506,"keep",1,-0.0666688732953796,0.080034423407917,0.642857142857143,0.789560439560439
"64","0.11","baserate","simple","prior","glasses","foil",6,0.0833333333333333,72,0.0300468445274259,0.154773559188882,"foil",0.0377358490566038,"baserate-72",0,0,"keep",1,0,0,0,0
"65","0.11","baserate","simple","prior","glasses","logical",12,0.166666666666667,72,0.0893487815930055,0.258238429075166,"logical",0.773584905660377,"baserate-72",0.5,0.577464788732394,"keep",1,-0.13682092555332,0.11317907444668,0.464285714285714,0.714285714285714
"66","0.11","baserate","simple","prior","glasses","target",54,0.75,72,0.646426434067955,0.842944840154049,"target",0.188679245283019,"baserate-72",0.5,0.422535211267606,"keep",1,-0.11317907444668,0.13682092555332,0.285714285714286,0.535714285714286
"67","0.77","baserate","simple","prior","glasses","foil",1,0.0133333333333333,75,2.34607327908825e-05,0.0509465479373625,"foil",0.0196078431372549,"baserate-75",0,0,"keep",1,0,0,0,0
"68","0.77","baserate","simple","prior","glasses","logical",4,0.0533333333333333,75,0.0133422929160002,0.112397872837334,"logical",0.372549019607843,"baserate-75",0.5,0.169642857142857,"keep",1,-0.0504682539682541,0.0504577519081026,0.119185105234755,0.220111111111111
"69","0.77","baserate","simple","prior","glasses","target",70,0.933333333333333,75,0.869093740892667,0.979285200394509,"target",0.607843137254902,"baserate-75",0.5,0.830357142857143,"keep",1,-0.0504577519081026,0.0504682539682539,0.779888888888889,0.880814894765245
"70","none","color","simple","prior","glasses","foil",1,0.0263157894736842,38,5.14612055539293e-05,0.0983727358771635,"foil",0.365714285714286,"color-38",0,0,"keep",1,0,0,0,0
"71","none","color","simple","prior","glasses","logical",7,0.184210526315789,38,0.0778279022059476,0.31581128132108,"logical",0.428571428571429,"color-38",0.5,0.40983606557377,"keep",1,-0.0785329183834489,0.0614492861128221,0.348386779460948,0.488368983957219
"72","none","color","simple","prior","glasses","target",30,0.789473684210526,38,0.652713086400107,0.903211275764544,"target",0.205714285714286,"color-38",0.5,0.59016393442623,"keep",1,-0.0614492861128221,0.0785329183834487,0.511631016042781,0.651613220539052
"73","target","color","simple","prior","glasses","foil",1,0.0217391304347826,46,4.0955216577707e-05,0.081893655974384,"foil",0.205882352941176,"color-46",0,0,"keep",1,0,0,0,0
"74","target","color","simple","prior","glasses","logical",6,0.130434782608696,46,0.048521986343088,0.237114602850435,"logical",0.352941176470588,"color-46",0.5,0.210526315789474,"keep",1,-0.0930451127819549,0.0832535885167464,0.127272727272727,0.303571428571429
"75","target","color","simple","prior","glasses","target",39,0.847826086956522,46,0.735548686312952,0.936922059755903,"target",0.441176470588235,"color-46",0.5,0.789473684210526,"keep",1,-0.0832535885167464,0.0930451127819549,0.696428571428572,0.872727272727273
"76","foil","color","simple","prior","glasses","foil",2,0.0425531914893617,47,0.00346428479986783,0.114236215458185,"foil",0.407407407407407,"color-47",0,0,"keep",1,0,0,0,0
"77","foil","color","simple","prior","glasses","logical",6,0.127659574468085,47,0.0474015602761976,0.232364835821588,"logical",0.518518518518518,"color-47",0.5,0.7,"keep",1,-0.3,0.221739130434782,0.478260869565217,1
"78","foil","color","simple","prior","glasses","target",39,0.829787234042553,47,0.714699429396725,0.923428813113716,"target",0.0740740740740741,"color-47",0.5,0.3,"keep",1,-0.221739130434782,0.3,0,0.521739130434783
"79","logical","color","simple","prior","glasses","foil",3,0.0625,48,0.0111820820907555,0.143133885132119,"foil",0.125,"color-48",0,0,"keep",1,0,0,0,0
"80","logical","color","simple","prior","glasses","logical",19,0.395833333333333,48,0.264193731136893,0.534016169607373,"logical",0.583333333333333,"color-48",0.5,0.4,"keep",1,-0.155555555555556,0.133333333333333,0.266666666666667,0.555555555555555
"81","logical","color","simple","prior","glasses","target",26,0.541666666666667,48,0.402875305109001,0.677842648442931,"target",0.291666666666667,"color-48",0.5,0.6,"keep",1,-0.133333333333333,0.155555555555556,0.444444444444444,0.733333333333333
"82","0","complex","complex","prior","hat","foil",0,0,52,0,0.0360919878459957,"foil",0.397435897435897,"complex-52",0,0,"keep",1,0,0,0,0
"83","0","complex","complex","prior","hat","logical",50,0.961538461538462,52,0.896337927311284,0.996897421830261,"logical",0.371794871794872,"complex-52",1,1,"keep",1,0,0,1,1
"84","0","complex","complex","prior","hat","target",2,0.0384615384615385,52,0.00310257816973939,0.103662072688716,"target",0.230769230769231,"complex-52",0,0,"keep",1,0,0,0,0
"85","1","complex","complex","prior","mustache","foil",44,0.758620689655172,58,0.644104873861914,0.859543892252255,"foil",0.397435897435897,"complex-58",0.5,0.775,"keep",1,-0.0622407291011946,0.0780961791831352,0.696903820816864,0.837240729101194
"86","1","complex","complex","prior","mustache","logical",11,0.189655172413793,58,0.0992588021695639,0.296429748915672,"logical",0.371794871794872,"complex-58",0,0,"keep",1,0,0,0,0
"87","1","complex","complex","prior","mustache","target",3,0.0517241379310345,58,0.00912335897362436,0.11937156768011,"target",0.230769230769231,"complex-58",0.5,0.225,"keep",1,-0.0780961791831353,0.0622407291011945,0.162759270898806,0.303096179183136
"88","2","complex","complex","prior","glasses","foil",4,0.0645161290322581,62,0.0163140688028883,0.135078336330298,"foil",0.397435897435897,"complex-62",0,0,"keep",1,0,0,0,0
"89","2","complex","complex","prior","glasses","logical",25,0.403225806451613,62,0.285849088794854,0.525345403452077,"logical",0.371794871794872,"complex-62",0.5,0.517857142857143,"keep",1,-0.119637362637363,0.104877603215199,0.412979539641944,0.637494505494505
"90","2","complex","complex","prior","glasses","target",33,0.532258064516129,62,0.409650108925198,0.653285853364369,"target",0.230769230769231,"complex-62",0.5,0.482142857142857,"keep",1,-0.104877603215199,0.119637362637363,0.362505494505495,0.587020460358056
"91","favorite","lang","simple","prior","glasses","foil",0,0,176,0,0.0108385653707431,"foil",0.08,"lang-176",0,0,"keep",1,0,0,0,0
"92","favorite","lang","simple","prior","glasses","logical",83,0.471590909090909,176,0.39859494448369,0.54508593483241,"logical",0.71,"lang-176",0.5,0.529850746268657,"keep",1,-0.0893468540313057,0.0770269318882386,0.452823814380418,0.619197600299962
"93","favorite","lang","simple","prior","glasses","target",93,0.528409090909091,176,0.45491406516759,0.60140505551631,"target",0.21,"lang-176",0.5,0.470149253731343,"keep",1,-0.0770269318882386,0.0893468540313056,0.380802399700038,0.547176185619582
"94","least","lang","simple","prior","glasses","foil",6,0.0697674418604651,86,0.0249327173623007,0.130374142727258,"foil",0.793103448275862,"lang-86",0,0,"keep",1,0,0,0,0
"95","least","lang","simple","prior","glasses","logical",12,0.13953488372093,86,0.0740103601269703,0.218029682954544,"logical",0.137931034482759,"lang-86",0.5,0.400000000000001,"keep",1,-0.183333333333333,0.134751636503659,0.265248363496342,0.583333333333333
"96","least","lang","simple","prior","glasses","target",68,0.790697674418605,86,0.700830021658064,0.870166719423344,"target",0.0689655172413793,"lang-86",0.5,0.599999999999999,"keep",1,-0.134751636503659,0.183333333333333,0.416666666666667,0.734751636503658
"97","word","oddman","oddman","prior","glasses","foil",40,0.449438202247191,89,0.34835245691022,0.55226394283585,"foil",0.402298850574713,"oddman-89",0.5,0.564516129032258,"keep",1,-0.0855235535074243,0.0823732718894011,0.482142857142857,0.650039682539683
"98","word","oddman","oddman","prior","glasses","logical",34,0.382022471910112,89,0.284478858345451,0.483627998770905,"logical",0.310344827586207,"oddman-89",0.5,0.435483870967742,"keep",1,-0.082373271889401,0.0855235535074243,0.349960317460317,0.517857142857143
"99","word","oddman","oddman","prior","glasses","target",15,0.168539325842697,89,0.0977132754491688,0.250859004329517,"target",0.28735632183908,"oddman-89",0,0,"keep",1,0,0,0,0
"100","patch","oddman","oddman","prior","glasses","foil",48,0.516129032258065,93,0.415602106641984,0.616124387468064,"foil",0.402298850574713,"oddman-93",0.5,0.564516129032258,"keep",1,-0.0825426944971536,0.0792442930251281,0.48527183600713,0.647058823529412
"101","patch","oddman","oddman","prior","glasses","logical",38,0.408602150537634,93,0.311493975217463,0.508723499709036,"logical",0.310344827586207,"oddman-93",0.5,0.435483870967742,"keep",1,-0.0792442930251281,0.0825426944971536,0.352941176470588,0.51472816399287
"102","patch","oddman","oddman","prior","glasses","target",7,0.0752688172043011,93,0.0298322224054412,0.135053806137833,"target",0.28735632183908,"oddman-93",0,0,"keep",1,0,0,0,0
"103","1","simple","simple","prior","glasses","foil",0,0,46,0,0.0406774312230883,"foil",0.365714285714286,"simple-46",0,0,"keep",1,0,0,0,0
"104","1","simple","simple","prior","glasses","logical",9,0.195652173913043,46,0.0943423672613376,0.317100629825791,"logical",0.428571428571429,"simple-46",0.5,0.40983606557377,"keep",1,-0.0784380132885438,0.0594221324278784,0.350413933145892,0.488274078862314
"105","1","simple","simple","prior","glasses","target",37,0.804347826086957,46,0.682899370174209,0.905657632738663,"target",0.205714285714286,"simple-46",0.5,0.59016393442623,"keep",1,-0.0594221324278785,0.0784380132885437,0.511725921137686,0.649586066854108
"106","0","simple","simple","prior","hat","foil",0,0,49,0,0.0382477868927334,"foil",0.365714285714286,"simple-49",0,0,"keep",1,0,0,0,0
"107","0","simple","simple","prior","hat","logical",48,0.979591836734694,49,0.922947403296308,0.999961966442339,"logical",0.428571428571429,"simple-49",1,1,"keep",1,0,0,1,1
"108","0","simple","simple","prior","hat","target",1,0.0204081632653061,49,3.80335576614601e-05,0.0770525967036921,"target",0.205714285714286,"simple-49",0,0,"keep",1,0,0,0,0
"109","twin","twins","twins","prior","hat","foil",5,0.108695652173913,46,0.034896058448651,0.208927155844989,"foil",0.551724137931034,"twins-46",0,0,"keep",1,0,0,0,0
"110","twin","twins","twins","prior","hat","logical",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,"logical",0.224137931034483,"twins-46",0.5,0.5,"keep",1,-0.125178571428571,0.117647058823529,0.382352941176471,0.625178571428571
"111","twin","twins","twins","prior","hat","target",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,"target",0.224137931034483,"twins-46",0.5,0.5,"keep",1,-0.117647058823529,0.125178571428571,0.374821428571429,0.617647058823529
"112","uniform","twins","twins","prior","mustache","foil",23,0.383333333333333,60,0.26572311123582,0.506848269182228,"foil",0.551724137931034,"twins-60",0.333333333333333,0.434782608695652,"keep",1,-0.0788442256858996,0.0672639345593304,0.367518674136321,0.513626834381551
"113","uniform","twins","twins","prior","mustache","logical",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,"logical",0.224137931034483,"twins-60",0.333333333333333,0.282608695652174,"keep",1,-0.0705742903598156,0.0721374914636925,0.210471204188482,0.35318298601199
"114","uniform","twins","twins","prior","mustache","target",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,"target",0.224137931034483,"twins-60",0.333333333333333,0.282608695652174,"keep",1,-0.0718633230020564,0.067245644931641,0.215363050720533,0.354472018654231
"115","0.33","baserate","simple","prior","glasses","foil",1,0.0158730158730159,63,2.85110845628313e-05,0.0603906613722844,"foil",0.0526315789473684,"baserate-63",0,0,"keep",2,0,0,0,0
"116","0.33","baserate","simple","prior","glasses","logical",11,0.174603174603175,63,0.0908006564595695,0.27426365285653,"logical",0.543859649122807,"baserate-63",0.5,0.212328767123287,"keep",2,-0.0673491989784075,0.0506521204167006,0.161676646706587,0.279677966101695
"117","0.33","baserate","simple","prior","glasses","target",51,0.80952380952381,63,0.70707160030733,0.896916231937255,"target",0.403508771929825,"baserate-63",0.5,0.787671232876712,"keep",2,-0.0506521204167009,0.0673491989784073,0.720322033898305,0.838323353293413
"118","0.44","baserate","simple","prior","glasses","foil",2,0.0294117647058824,68,0.00232502360660842,0.0799697548438146,"foil",0.122448979591837,"baserate-68",0,0,"keep",2,0,0,0,0
"119","0.44","baserate","simple","prior","glasses","logical",6,0.0882352941176471,68,0.031917080030165,0.163514641891754,"logical",0.469387755102041,"baserate-68",0.5,0.186991869918699,"keep",2,-0.0705255484898081,0.0503688375175526,0.136623032401147,0.257517418408508
"120","0.44","baserate","simple","prior","glasses","target",60,0.882352941176471,68,0.798737944887376,0.948527888258358,"target",0.408163265306122,"baserate-68",0.5,0.813008130081301,"keep",2,-0.0503688375175526,0.070525548489808,0.742482581591493,0.863376967598853
"121","0.11","baserate","simple","prior","glasses","foil",6,0.0833333333333333,72,0.0300468445274259,0.154773559188882,"foil",0.0377358490566038,"baserate-72",0,0,"keep",2,0,0,0,0
